Date,Open,High,Low,Close,Volume,Adj Close
2013-07-01,108.37,110.36,108.36,109.31,2668800,108.18
2013-06-28,109.86,110.47,109.14,109.35,3428500,108.22
2013-06-27,110.54,110.90,109.97,110.24,2229600,109.10
2013-06-26,109.07,109.98,108.73,109.68,2524400,108.54
2013-06-25,108.20,108.75,107.54,108.24,2676700,107.12
2013-06-24,108.78,108.78,107.15,107.50,3602500,106.39
2013-06-21,109.50,110.06,108.74,109.59,4674400,108.45
2013-06-20,110.71,110.76,108.52,108.78,2975600,107.65
2013-06-19,112.96,113.25,111.53,111.57,1971700,110.41
2013-06-18,112.07,113.23,111.90,112.97,1695300,111.80
2013-06-17,111.85,112.87,111.64,111.91,2617800,110.75
2013-06-14,111.30,112.07,110.75,111.03,2016800,109.88
2013-06-13,108.95,111.44,108.58,111.20,2604200,110.05
2013-06-12,110.99,111.06,108.95,109.03,2400700,107.90
2013-06-11,109.90,111.08,109.51,110.22,1752100,109.08
2013-06-10,111.41,111.45,110.54,110.81,2224100,109.66
2013-06-07,109.38,111.12,108.97,111.11,3374900,109.96
2013-06-06,108.46,108.78,107.64,108.67,2680800,107.54
2013-06-05,109.80,109.89,108.39,108.59,2690400,107.47
2013-06-04,110.65,111.20,109.53,110.02,2508500,108.88
2013-06-03,110.70,110.95,109.69,110.61,2647100,109.46
2013-05-31,110.79,112.21,110.27,110.27,3207700,109.13
2013-05-30,111.34,112.00,111.01,111.42,2599200,110.27
2013-05-29,111.04,111.36,110.48,111.13,2113600,109.98
2013-05-28,111.15,112.38,111.04,111.59,2722000,110.43
2013-05-24,109.86,110.49,109.49,110.27,2228400,109.13
2013-05-23,110.06,110.70,109.58,110.41,2568400,109.27
2013-05-22,111.59,112.29,110.57,110.79,3833200,109.64
2013-05-21,112.11,112.34,111.52,112.01,2473300,110.22
2013-05-20,111.13,112.06,110.96,111.72,2457300,109.94
2013-05-17,111.16,111.78,110.94,111.39,4060400,109.61
2013-05-16,111.21,111.70,110.95,111.07,2685900,109.30
2013-05-15,110.40,111.71,110.29,111.50,2912600,109.72
2013-05-14,110.32,110.79,110.27,110.59,2481000,108.82
2013-05-13,109.99,110.72,109.71,110.50,2044400,108.74
2013-05-10,110.08,110.64,109.75,110.48,2993300,108.72
2013-05-09,108.11,110.51,108.11,109.92,4487000,108.16
2013-05-08,108.03,108.29,107.77,108.20,2654400,106.47
2013-05-07,107.61,108.37,107.55,108.01,2235200,106.29
2013-05-06,107.63,107.99,107.45,107.84,2174400,106.12
2013-05-03,106.96,108.60,106.85,107.83,3013100,106.11
2013-05-02,105.04,106.38,104.91,106.04,3119500,104.35
2013-05-01,104.78,105.12,104.42,104.55,3258900,102.88
2013-04-30,103.98,104.74,102.97,104.71,3768800,103.04
2013-04-29,103.91,104.20,102.89,103.83,2903700,102.17
